iter	MultiClass
0	2.008509523
1	1.809051454
2	1.655964197
3	1.525082416
4	1.423630563
5	1.343117288
6	1.257670931
7	1.189290841
8	1.11821144
9	1.061155377
10	1.005455563
11	0.954426667
12	0.9127161943
13	0.8732848987
14	0.8381913219
15	0.8052831026
16	0.7747968394
17	0.7456261179
18	0.7214978754
19	0.6950275222
20	0.6728951981
21	0.6528792995
22	0.6329764122
23	0.6147380082
24	0.5957720445
25	0.5798930965
26	0.5625065446
27	0.5455580734
28	0.5310228655
29	0.5190146194
30	0.5053458191
31	0.494119185
32	0.4820620892
33	0.4700472007
34	0.458015443
35	0.447499752
36	0.4371602493
37	0.4285011555
38	0.420436587
39	0.4132212686
40	0.4062197716
41	0.3985201305
42	0.3912199967
43	0.3822569599
44	0.3766701707
45	0.370235686
46	0.3628878994
47	0.3555333887
48	0.3483889394
49	0.3437707819
50	0.3384955663
51	0.3324810935
52	0.3286245037
53	0.3230354492
54	0.3188755307
55	0.3128988276
56	0.3095258743
57	0.3055287712
58	0.3023582331
59	0.2980905226
60	0.2925019946
61	0.2871630533
62	0.2827439488
63	0.278194698
64	0.2744738841
65	0.271509114
66	0.2691981851
67	0.2648595832
68	0.261908644
69	0.2601613601
70	0.2578590965
71	0.2547916272
72	0.2525013462
73	0.2494194965
74	0.2471929352
75	0.2445532942
76	0.2414700539
77	0.2384396213
78	0.2360019037
79	0.2342663208
80	0.231806319
81	0.2288821782
82	0.2268988649
83	0.2252882641
84	0.2232172991
85	0.2211030302
86	0.2192949495
87	0.2182799489
88	0.2162879599
89	0.2134285757
90	0.2119031486
91	0.2096247742
92	0.2072655303
93	0.2049314397
94	0.2034176303
95	0.2015586029
96	0.1997788108
97	0.198538159
98	0.1963786491
99	0.1941268038
100	0.1932703303
101	0.1925102246
102	0.190713133
103	0.1889649278
104	0.1877734646
105	0.1870720571
106	0.1856385132
107	0.1841174805
108	0.1825006428
109	0.1815014119
110	0.1800539561
111	0.1790712739
112	0.178481225
113	0.1778415835
114	0.1774588224
115	0.1760539283
116	0.1744096754
117	0.1730547573
118	0.1726201789
119	0.1713266941
120	0.1706005209
121	0.1704192288
122	0.1694329952
123	0.1679554584
124	0.1668268335
125	0.1661494249
126	0.1650873422
127	0.1648386423
128	0.1644584932
129	0.16395046
130	0.1633141431
131	0.1618106592
132	0.1615567207
133	0.1608432437
134	0.1598385707
135	0.1588629991
136	0.1587628868
137	0.1585920715
138	0.1584989721
139	0.1579620834
140	0.1574201979
141	0.1567053239
142	0.1563023683
143	0.1561258238
144	0.1557645423
145	0.1557089439
146	0.1551372944
147	0.1547315327
148	0.153972278
149	0.1537323258
150	0.1536492009
151	0.1535523578
152	0.153157389
153	0.1530371102
154	0.151757694
155	0.1515688105
156	0.15147036
157	0.1510036844
158	0.150945782
159	0.150865507
160	0.1507945107
161	0.1504517674
162	0.1493927434
163	0.1493887583
164	0.1492253709
165	0.1484582711
166	0.1480961575
167	0.1476783578
168	0.1470529074
169	0.1464668021
170	0.1463377677
171	0.1458005565
172	0.1452303166
173	0.1451891548
174	0.145098038
175	0.1449556028
176	0.1448632826
177	0.1446652255
178	0.1445889781
179	0.1441662128
180	0.1441627644
181	0.1439900767
182	0.1439356019
183	0.1437666021
184	0.1437229302
185	0.143677215
186	0.1434178298
187	0.142943825
188	0.1415807313
189	0.1413491994
190	0.1413442407
191	0.1411446232
192	0.1411405435
193	0.1404476843
194	0.1404426709
195	0.140220801
196	0.1397827608
197	0.1394088528
198	0.1392336347
199	0.1386336269
200	0.1384483231
201	0.1380184981
202	0.1377952915
203	0.1374220259
204	0.1373598234
205	0.1371639103
206	0.1369544878
207	0.1369502396
208	0.1368454973
209	0.1367575236
210	0.1364988063
211	0.1361159962
212	0.1359285068
213	0.1359220562
214	0.1358666884
215	0.1357885597
216	0.1356862729
217	0.1356067221
218	0.1354768613
219	0.1353673045
220	0.1343762065
221	0.1340499926
222	0.1340053642
223	0.1340018789
224	0.1339432151
225	0.1338960685
226	0.1338109126
227	0.1337710755
228	0.1336961661
229	0.1328996428
230	0.1327113884
231	0.1326756945
232	0.1319443518
233	0.1316425737
234	0.1313545744
235	0.1311851388
236	0.1309705536
237	0.1306767368
238	0.1303946599
239	0.1302691927
240	0.1299431698
241	0.1297337315
242	0.1292845339
243	0.1291756159
