iter	Passed	Remaining
0	3082	3079870
1	5901	2944668
2	9138	3037132
3	12263	3053587
4	15334	3051595
5	18366	3042797
6	21303	3022037
7	24235	3005245
8	27349	3011435
9	30433	3012937
10	33419	3004704
11	36410	2997828
12	39398	2991223
13	42401	2986245
14	45450	2984595
15	48663	2992830
16	51844	2997808
17	55341	3019182
18	58593	3025265
19	62206	3048098
20	65441	3050804
21	68653	3051946
22	71904	3054387
23	74913	3046483
24	77866	3036794
25	80900	3030644
26	83914	3024016
27	86883	3016108
28	89920	3010802
29	92939	3005043
30	96077	3003185
31	98985	2994319
32	102088	2991493
33	105111	2986413
34	108133	2981404
35	111280	2979837
36	114420	2978026
37	117392	2971881
38	120482	2968811
39	123445	2962692
40	126553	2960123
41	129952	2964143
42	133032	2960741
43	136059	2956212
44	139020	2950324
45	142091	2946859
46	145067	2941474
47	148112	2937572
48	151175	2934034
49	154132	2928525
50	157134	2923937
51	160155	2919749
52	163343	2918616
53	166348	2914178
54	169322	2909272
55	172380	2905841
56	175410	2901968
57	178355	2896743
58	181302	2891628
59	184367	2888420
60	187415	2884973
61	190483	2881827
62	193515	2878163
63	196525	2874191
64	199496	2869677
65	202542	2866280
66	205500	2861677
67	208541	2858247
68	211463	2853228
69	214421	2848744
70	217341	2843808
71	220283	2839206
72	223258	2835072
73	226203	2830602
74	229208	2826903
75	232145	2822406
76	235311	2820685
77	238378	2817757
78	241328	2813456
79	244291	2809351
80	247215	2804830
81	250233	2801390
82	253189	2797289
83	256168	2793454
84	259123	2789390
85	262106	2785639
86	265108	2782111
87	268047	2777942
88	271032	2774278
89	274149	2771959
90	277117	2768131
91	280147	2764934
92	283139	2761369
93	286250	2758971
94	289166	2754690
95	292188	2751439
96	295498	2750874
97	298466	2747110
98	301437	2743384
99	304503	2740530
100	307454	2736646
101	310368	2732458
102	313361	2728983
103	316419	2726073
104	319424	2722711
105	322343	2718636
106	325390	2715640
107	328401	2712350
108	331438	2709283
109	334465	2706132
110	337525	2703241
111	340515	2699798
112	343424	2695730
113	346385	2692085
114	349235	2687592
115	352234	2684270
116	355349	2681825
117	358368	2678656
118	361366	2675325
119	364385	2672158
120	367366	2668721
121	370237	2664497
122	373184	2660833
123	376154	2657346
124	379124	2653874
125	382132	2650666
126	385153	2647551
127	388195	2644583
128	391170	2641161
129	394232	2638326
130	397277	2635376
131	400287	2632194
132	403160	2628123
133	406135	2624727
134	409112	2621348
135	412088	2617971
136	415132	2615034
137	418175	2612080
138	421028	2607950
139	423977	2604430
140	426905	2600790
141	429916	2597662
142	432817	2593881
143	435761	2590361
144	438715	2586910
145	441601	2583068
146	444552	2579614
147	447583	2576627
148	450565	2573361
149	453498	2569826
150	456375	2565980
151	459317	2562509
152	462269	2559099
153	465196	2555562
154	468199	2552441
155	471211	2549373
156	474255	2546478
157	477204	2543077
158	480154	2539684
159	483062	2536076
160	485965	2532451
161	488878	2528891
162	491890	2525840
163	494780	2522175
164	497700	2518665
165	500760	2515867
166	504036	2514145
167	507429	2512982
168	510703	2511213
169	513658	2507862
170	516624	2504572
171	519582	2501244
172	522563	2498035
173	525439	2494325
174	528355	2490818
175	531305	2487477
176	534291	2484303
177	537232	2480927
178	540197	2477663
179	543173	2474458
180	546030	2470713
181	548899	2467032
182	551819	2463587
183	554720	2460063
184	557604	2456475
185	560476	2452836
186	563586	2450243
187	566483	2446725
188	569493	2443700
189	572422	2440327
190	575293	2436714
191	578367	2433961
192	581255	2430431
193	584243	2427319
194	587169	2423956
195	590082	2420542
196	593134	2417702
197	596034	2414241
198	598912	2410696
199	601878	2407512
200	604966	2404816
201	607953	2401716
202	610917	2398526
203	613918	2395487
204	616799	2391977
205	619705	2388573
206	622626	2385232
207	625660	2382324
208	628557	2378894
209	631505	2375662
210	634457	2372450
211	637389	2369163
212	640310	2365842
213	643238	2362548
214	646090	2358982
215	649016	2355690
216	652068	2352855
217	655040	2349732
218	657927	2346309
219	661342	2344758
220	665092	2344376
221	668416	2342470
222	671861	2340969
223	674813	2337746
224	677785	2334593
225	680766	2331476
226	683684	2328139
227	686589	2324766
228	689560	2321620
229	692552	2318544
230	695664	2315869
231	698531	2312380
232	701522	2309304
233	704503	2306196
234	707444	2302958
235	710396	2299758
236	713536	2297165
237	716430	2293781
238	719445	2290786
239	722375	2287521
240	725333	2284350
241	728238	2281012
242	731273	2278082
243	734199	2274814
244	737106	2271491
245	740046	2268271
246	742947	2264938
247	745920	2261824
248	748903	2258741
249	751993	2255981
250	755113	2253305
251	758112	2250270
252	761355	2247953
253	764335	2244858
254	767383	2241963
255	770294	2238667
256	773304	2235662
257	776209	2232354
258	779126	2229084
259	782144	2226103
260	785166	2223134
261	788047	2219766
262	791002	2216611
263	793978	2213515
264	796826	2210065
265	799737	2206793
266	802773	2203869
267	805635	2200467
268	808539	2197184
269	811589	2194297
270	814502	2191041
271	817469	2187934
272	820434	2184820
273	823471	2181897
274	826362	2178592
275	829242	2175259
276	832261	2172291
277	835203	2169125
278	838169	2166023
279	841061	2162729
280	843979	2159506
281	846875	2156230
282	849879	2153228
283	852865	2150181
284	855881	2147211
285	858789	2143970
286	861690	2140716
287	864611	2137512
288	867512	2134260
289	870512	2131255
290	873597	2128455
291	876478	2125159
292	879359	2121867
293	882308	2118741
294	885285	2115681
295	888250	2112596
296	891261	2109618
297	894655	2107544
298	897590	2104383
299	900502	2101172
300	903477	2098108
301	906406	2094939
302	909306	2091705
303	912213	2088489
304	915220	2085502
305	918384	2082872
306	921369	2079835
307	924340	2076765
308	927215	2073482
309	930105	2070233
310	933048	2067107
311	935963	2063919
312	938886	2060751
313	941784	2057528
